#NAME?,Hälsa,Styrka,Uthålliget,@dropdown,Initiativstyrka,Undvika,anfall,Yxa,Svärd,Hammare,Stav,Sköld,Stick,Kätting,,Högre PT chans,Ökning högsta PT,,Min Skada,Max Skada,Skadetak,,Vikt,Fummelrisk,,VF Krav,Parer/Blocker Chans,Brytvärde,Ökad skada PT,,Ledarskap,Provokasion
Vapen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<< Yxor >>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronsyxa,,,7,,,,,,,,,,,,,1%,,,11,16,35,,11,,,110,,,,,,
Större Havsyxa,,8,,,,4,,,,,,,,,,2%,7%,,11,20,38,,10,,,120,,,,,,
Morgulyxa,,,,,,5%,,10,,,,,,,,3%,9%,,10,18,48,,7,,,130,,,,,,
Besmyckad Klyvyxa,,,,,,,,12,,,,,,,,2%,1%,,13,17,48,,11,,,125,,,,,,
Offeryxa,-10,15,,,,,,,,,,,,,,3%,4%,,11,19,39,,14,,,105,,,,,,
Bardiche,,,,,,6%,,6%,,,,,,,,2%,9%,,14,24,48,,8,,,160,,,,,,
Änterbila,,,,,,,,8%,,,,,,,,1%,2%,,14,28,79,,14,,,160,,,,,,
Skogsyxa,,,,,5,,,10,,,,,,,,1%,2%,,23,36,103,,25,,,125,,,,,,
Tabarzin,,,,,5,,,5%,,,,,,,,,,,14,22,63,,10,,,150,,,,,,
Sankt Olovs Dubbelyxa,,,,,,,,7%,,,,,,,,2%,1%,,12,24,66,,15,,,150,,,,,,
Härdad Dvärgisk Krigsyxa,,,5,,,,,10,,,,,,,,4%,7%,,12,18,36,,12,,,125,,,,,,
Bergets Stolthet,,,,,5,,,10%,,,,,,,,2%,2%,,24,36,104,,25,,,135,,,,,,
Barbaryxa,-5,10,,,5,,,,,,,,,,,,6%,,9,20,40,,11,,,115,,,,,,
Tvåbilad Fasces,,5,,,,,,5,,,,,,,,,4%,,13,25,80,,15,,,114,,,,,,5
Kortskaftad Stridsyxa,,,,,,,,10%,,,,,,,,3%,8%,,12,18,34,,7,,,135,,,,,,
Stor Tvåhandsyxa,,,,,,,,10,,,,,,,,1%,,,18,33,90,,20,,,115,,,,,,
Hedeyxa,5%,,10,,,5%,,,,,,,,,,,,,13,18,55,,12,,,155,,,,,,
Alvisk Silveryxa,,,,,8,8%,,10,,,,,,,,6%,2%,,12,20,58,,8,,,160,,,,,,
Vinteryxa,,,,,,,,7%,,,,,,,,3%,3%,,16,25,77,,12,,,132,,,,,,
Fyreggsbila,,,,,,5,,5,,,,,,,,2%,7%,,10,19,33,,8,,,130,,,,,,
Ökenyxa,,,,,,5,,5,,,,,,,,2%,,,7,12,25,,6,,,,,,,,,
Tvåeggad dolklie,,,,,,4%,,8%,,,,,,,,3%,7%,,16,23,49,,9,,,170,,,,,,
Virtuosens tvåegg,,,,,,10%,,,,,,,,,,2%,15%,,8,28,48,,8,,,190,,,,,,
Orkisk Stridsyxa,,5,,,5,,,,,,,,,,,2%,6%,,5,22,37,,13,,,115,,,,,,
Havsyxa,,,,,,8%,,,,,,,,,,4%,7%,,11,15,32,,6,,,120,,,,,,
Långyxa,,,,,10,,,,,,,,,,,,,,8,20,38,,13,,,115,,,,,,
Liten Stridsyxa,,,,,,5%,,8,,,,,,,,3%,8%,,6,13,24,,7,,,105,,,,,,
Carnivora,-3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindklyvare,,5,,,5,5,,,,,,,,,,2%,8%,,12,17,36,,8,,,125,,,,,,
Dvärgisk krigsyxa,,,4,,,,,8,,,,,,,,2%,6%,,8,13,26,,11,,,115,,,,,,
Perun,,,,,15,,,,,,,,,,,2%,10%,,18,25,57,,10,,,160,,,,,,
Regentfaces,,,15,,,,,5,,,,,,,,2%,10%,,21,23,55,,11,,,155,,,,,,
Parashu,,,,,,,,10%,,,,,,,,6%,10%,,19,24,51,,7,,,165,,,,,,
Halvmånebila,,,,,5,12%,,5,,,,,,,,2%,10%,,16,26,52,,8,,,170,,,,,,
Hammarhjälms släktyxa,,,,,,,,12,,,,,,,,4%,8%,,15,29,58,,11,,,160,,,,,,
Tragmar,,,,,,8%,,,,,,,,,,2%,12%,,11,30,54,,9,,,142,,,,,,
Dvärgsprättare,,5%,,,,10,,5,,,,,,,,6%,3%,,17,21,49,,7,,,160,,116,,,,
Runbesmyckad Stridsyxa,,,5,,,,,10%,,,,,,,,3%,9%,,17,23,50,,12,,,180,,138,,,,
Svartskogsyxa,,5,,,,,,,,,,,,,,1%,5%,,4,11,18,,8,,,60,,,,,,
Tandad svartyxa,,8,,,,,,,,,,,,,,1%,5%,,9,12,29,,11,,,90,,,,,,
Slaktyxa,,,,,,,,5,,,,,,,,,7%,,7,14,35,,14,,,50,,,,,,
